slot,label,kind,parent,system,zone,side,prefix,sideSuffix,partNumber,partRevision,sourcing,supplierId,supplierBatchCode,manufacturingLotCode,workOrderId,processStepId,manufacturingTeamId,synonyms,spec
charge-port-module,Charge-port module,subassembly,,charging,rear-quarter-left,L,CPM,,CP-MOD-300,A,in_house,,,DEMO-ASM-LOT-01,WO-DEMO-0100,chargeport-install,TEAM-ASSEMBLY,charge port|charging port|charge door|charger inlet|port,"{""inlet"":""CCS2 (demo)"",""mounting"":""4x M6 to rear quarter""}"
charge-connector,Charge connector,component,charge-port-module,charging,rear-quarter-left,L,CONN,,CP-CONN-100,B,supplier,SUP-CONNECTOR,DEMO-SUP-LOT-01,,,,,connector|inlet connector|ccs connector|charge pins|charging connector,"{""ratedCurrent"":""500 A DC (demo)"",""pins"":9}"
charge-bracket,Mounting bracket,component,charge-port-module,charging,rear-quarter-left,L,BRKT,,CP-BRKT-200,A,in_house,,,DEMO-MFG-LOT-01,WO-DEMO-0001,bracket-forming,TEAM-INHOUSE-MFG,bracket|port bracket|connector bracket,"{""material"":""Al 6061 stamped"",""flange"":""12.0 +/- 0.3 mm""}"
charge-harness,Charge harness (inlet to OBC),component,,charging,underbody,L,CHH,,HV-960,A,supplier,SUP-HARNESS,DEMO-HVC-LOT-05,,,,,charge cable|inlet harness|charging harness,"{""gauge"":""50 mm2"",""voltageClass"":""HV""}"
obc,On-board charger,component,,charging,front-bay,L,OBC,,PE-OBC-700,C,supplier,SUP-POWER,DEMO-PE-LOT-02,,,,,obc|onboard charger|ac charger,"{""power"":""11 kW AC (demo)""}"
hv-junction,HV junction box,component,,hv,front-bay,C,HVJ,,HV-JB-500,B,in_house,,,DEMO-HVJ-LOT-04,WO-HVJ-0004,hv-box-assembly,TEAM-BATTERY,junction box|hv box|contactor box|pdu|power distribution,"{""contactors"":3,""fuses"":""400 A main""}"
battery-pack,HV battery pack,subassembly,,hv,underbody,C,BATT,,BP-400,C,in_house,,,DEMO-BATT-LOT-02,WO-BATT-0002,battery-pack-assembly,TEAM-BATTERY,battery|pack|hv battery|traction battery|battery pack,"{""nominal"":""400 V, 77 kWh (demo)"",""modules"":8}"
cell-modules,Cell modules,component,battery-pack,hv,underbody,C,CELL,,CELL-MOD-410,2,supplier,SUP-CELLS,DEMO-CELL-LOT-07,,,,,cells|cell module|battery cells|modules,"{""chemistry"":""NMC pouch (demo)"",""count"":8}"
bms,Battery management system,component,battery-pack,hv,underbody,C,BMS,,EL-BMS-320,A,supplier,SUP-ELEC,DEMO-ELEC-LOT-09,,,,,bms|battery management|battery controller,"{""bus"":""CAN 500 kbit/s""}"
front-drive-unit,Front drive unit,subassembly,,powertrain,front-bay,C,FDU,,DU-500,B,in_house,,,DEMO-DU-LOT-03,WO-DU-0003,drive-unit-assembly,TEAM-BATTERY,front motor|front drive|front engine|engine|motor|fdu|front axle motor,"{""peak"":""150 kW (demo)"",""reduction"":""9.0:1""}"
rear-drive-unit,Rear drive unit,subassembly,,powertrain,rear,C,RDU,,DU-500,B,in_house,,,DEMO-DU-LOT-03,WO-DU-0003,drive-unit-assembly,TEAM-BATTERY,rear motor|rear drive|rear engine|rdu|rear axle motor,"{""peak"":""150 kW (demo)""}"
inverter-front,Front inverter,component,,hv,front-bay,C,INV,F,PE-INV-600,B,supplier,SUP-POWER,DEMO-PE-LOT-02,,,,,front inverter|inverter|traction inverter,"{""type"":""SiC 3-phase (demo)""}"
inverter-rear,Rear inverter,component,,hv,rear,C,INV,R,PE-INV-600,B,supplier,SUP-POWER,DEMO-PE-LOT-02,,,,,rear inverter,"{""type"":""SiC 3-phase (demo)""}"
dcdc,DC-DC converter,component,,lv,front-bay,R,DCDC,,PE-DCDC-650,A,supplier,SUP-POWER,DEMO-PE-LOT-02,,,,,dcdc|dc-dc|converter|12v converter,"{""output"":""12 V / 2.5 kW (demo)""}"
12v-battery,12 V battery,component,,lv,front-bay,L,LVB,,LV-BAT-120,A,supplier,SUP-BATT12,DEMO-LVB-LOT-01,,,,,12v|12 v battery|low voltage battery|aux battery|auxiliary battery|small battery,"{""type"":""LFP 12 V 40 Ah (demo)""}"
fuse-box,Fuse and relay box,component,,lv,front-bay,R,FUSE,,EL-FB-210,A,supplier,SUP-ELEC,DEMO-ELEC-LOT-09,,,,,fuse box|fuses|relay box|fuse|junction,"{""fuses"":[""F12 start 10 A"",""F20 EPAS 60 A"",""F31 lighting 20 A""]}"
hv-harness-front,"HV harness, front",component,,hv,underbody,C,HVC,F,HV-950,A,supplier,SUP-HARNESS,DEMO-HVC-LOT-05,,,,,hv harness|hv cable|orange cable|high voltage cable|hv wiring,"{""gauge"":""70 mm2"",""voltageClass"":""HV""}"
